Datasheet,Category,Subcategory,MPN,SPN,Quantity,SMD/THT,Package
https://www.we-online.com/components/products/datasheet/885012205067.pdf,PassiveComponents,capacitors,885012205067,,1000,SMD,402
https://www.farnell.com/datasheets/3486024.pdf,PassiveComponents,resistors,MCVVT025M100CA1L,2610879,2000,SMD,"4,0 x 5,4"
https://www.we-online.com/components/products/datasheet/885012206076.pdf,PassiveComponents,capacitors,885012206076,,1000,SMD,603
https://docs.rs-online.com/9f65/0900766b8157cb2c.pdf,PassiveComponents,resistors,804-8760,804-8760,5000,SMD,603
https://docs.rs-online.com/21eb/0900766b8157cb45.pdf,PassiveComponents,resistors,804-8845,804-8845,5000,SMD,603
https://docs.rs-online.com/bc5c/0900766b8157cb5c.pdf,PassiveComponents,resistors,804-8921,804-8921,5000,SMD,603
https://www.te.com/en/product-1623094-1.datasheet.pdf,PassiveComponents,resistors,CRG0603ZR,134-5428,5000,SMD,603
https://www.te.com/en/product-1623401-1.datasheet.pdf,PassiveComponents,resistors,CRG0805ZR,134-5456,5000,SMD,805
https://www.te.com/en/product-1623404-1.datasheet.pdf,PassiveComponents,resistors,CRG1206F10K,134-5524,5000,SMD,1206
https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL10B103KB8NNN,PassiveComponents,capacitors,CL10B103KB8NNNC,766-5373,4000,SMD,603
https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf,PassiveComponents,resistors,ERJ8GEY0R00V,176-3599,1000,SMD,1206
https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL10B104KB8NNN,PassiveComponents,capacitors,CL10B104KB8NNNC,766-5443,4000,SMD,603
https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1097/ECJ_%28General%29.pdf,PassiveComponents,capacitors,ECJ-2VB1E104K,PCC1828TR-ND,4000,SMD,805
,PassiveComponents,resistors,RM10JTN103,,5000,SMD,805
,PassiveComponents,resistors,MCR10 EZH JW111E,,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-07100KL,199-5648,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-07100R,618-5135,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-0710KL,618-5163,10000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-07150RL,242-6901,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-071K5L,199-5668,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-07200RL,242-6929,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-0720KL,199-5679,5000,SMD,805
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R71H102KA12-01A.pdf,PassiveComponents,capacitors,GRM033R71H102KA12D,185-2113,2500,SMD,201
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-0722KL,199-5686,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-07240RL,618-5163,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-072KL,199-5695,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-07330RL,242-6989,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-0733KL,618-5163,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-0733RL,618-5163,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-07390KL,242-6995,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-07390RL,199-5710,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-07470RL,242-7007,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-074K7L,242-7021,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-075K1L,199-5732,5000,SMD,805
https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM21BR71C105KA01-01A.pdf,PassiveComponents,capacitors,GRM21BR71C105KA01L,490-1691-2-ND,3000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-075K6L,199-5734,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805FR-07715RL,3952049,5000,SMD,805
https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf,PassiveComponents,resistors,RC0805JR-070RL,199-5752,5000,SMD,805
https://docs.rs-online.com/28d2/0900766b8157c903.pdf,PassiveComponents,resistors,802-9618,802-9618,5000,SMD,1206
,PassiveComponents,resistors,MCR18 EZH JW202E,,5000,SMD,1206
https://docs.rs-online.com/350b/0900766b8157c940.pdf,PassiveComponents,resistors,802-9784,802-9784,5000,SMD,1206
https://www.seielect.com/catalog/sei-rmcf_rmcp.pdf,PassiveComponents,resistors,RMCF0805FT909K,RMCF0805FT909KTR-ND,5000,SMD,805
,PassiveComponents,resistors,,,4000,SMD,1206
https://www.yageo.com/en/Chart/Download/pdf/CC0805KRX7R9BB681,PassiveComponents,capacitors,CC0805KRX7R9BB681,3019860,4000,SMD,805
https://docs.rs-online.com/1e78/0900766b815b838f.pdf,PassiveComponents,capacitors,TAJV226K050RNJ,1355458,100,SMD,7361-38
-,PassiveComponents,resistors,,16922,1,SMD,603
,PassiveComponents,resistors,MP000460,3213384,1,SMD,805
https://www.farnell.com/datasheets/2899258.pdf,PassiveComponents,capacitors,293D104X9050A2TE3,9302727,100,SMD,3216-18
https://www.we-online.com/en/components/products/download/inlay/824599,Semiconductors,diodes,824599,,2,SMD,kit
,,,,1182,7,,
,,,STM32F446ZCT6,,10,,
,,,STM32G431CBU6,,50,,
,,,STM32U535RET6Q,,7,,
,,,STM32F0360K6T6,,30,,
,,,STM32G474RET6,,14,,
,,,STM32G4A1REI6,,9,,
,,,STM32F201K6T6,,14,,
,,,STM32L412KBT6,,50,,
,,,STM32H573RIT6,,8,,
,,,STM32U535RET6,,2,,
,,,STM32G431KBT6,,12,,
,,,STM32G491CET6,,25,,
