MPN;SPN;Quantity;SMD/THT;Category;Subcategory;Datasheet URL
560114;—;1;SMD;PassiveComponents;resistors;https://www.we-online.com/en/components/products/download/inlay/560114
744790;—;1;SMD;PassiveComponents;inductors;https://www.we-online.com/en/components/products/download/inlay/744790
885012107019;—;1000;SMD;PassiveComponents;capacitors;https://www.we-online.com/components/products/datasheet/885012107019.pdf
885012106012;—;1000;SMD;PassiveComponents;capacitors;https://www.we-online.com/components/products/datasheet/885012106012.pdf
AC0805FR-0710KL;197-8157;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_11.pdf
885012205086;—;200;SMD;PassiveComponents;capacitors;https://www.we-online.com/components/products/datasheet/885012205086.pdf
885012214001;—;80;SMD;PassiveComponents;capacitors;https://www.we-online.com/components/products/datasheet/885012214001.pdf
AC0805FR-071KL;197-8172;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-AC_51_RoHS_L_11.pdf
885012205085;—;1000;SMD;PassiveComponents;capacitors;https://www.we-online.com/components/products/datasheet/885012205085.pdf
MP000459;3213383;1;SMD;PassiveComponents;resistors;https://www.farnell.com/datasheets/2830050.pdf
885012205067;—;1000;SMD;PassiveComponents;capacitors;https://www.we-online.com/components/products/datasheet/885012205067.pdf
MCVVT025M100CA1L;2610879;2000;SMD;PassiveComponents;resistors;https://www.farnell.com/datasheets/3486024.pdf
885012206076;—;1000;SMD;PassiveComponents;capacitors;https://www.we-online.com/components/products/datasheet/885012206076.pdf
804-8760;804-8760;5000;SMD;PassiveComponents;resistors;https://docs.rs-online.com/9f65/0900766b8157cb2c.pdf
804-8845;804-8845;5000;SMD;PassiveComponents;resistors;https://docs.rs-online.com/21eb/0900766b8157cb45.pdf
804-8921;804-8921;5000;SMD;PassiveComponents;resistors;https://docs.rs-online.com/bc5c/0900766b8157cb5c.pdf
CRG0603ZR;134-5428;5000;SMD;PassiveComponents;resistors;https://www.te.com/en/product-1623094-1.datasheet.pdf
CRG0805ZR;134-5456;5000;SMD;PassiveComponents;resistors;https://www.te.com/en/product-1623401-1.datasheet.pdf
CRG1206F10K;134-5524;5000;SMD;PassiveComponents;resistors;https://www.te.com/en/product-1623404-1.datasheet.pdf
CL10B103KB8NNNC;766-5373;4000;SMD;PassiveComponents;capacitors;https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL10B103KB8NNN
ERJ8GEY0R00V;176-3599;1000;SMD;PassiveComponents;resistors;https://industrial.panasonic.com/cdbs/www-data/pdf/RDA0000/AOA0000C301.pdf
CL10B104KB8NNNC;766-5443;4000;SMD;PassiveComponents;capacitors;https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL10B104KB8NNN
ECJ-2VB1E104K;PCC1828TR-ND;4000;SMD;PassiveComponents;capacitors;https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1097/ECJ_%28General%29.pdf
RM10JTN103;—;5000;SMD;PassiveComponents;resistors;—
MCR10 EZH JW111E;—;5000;SMD;PassiveComponents;resistors;—
RC0805FR-07100KL;199-5648;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-07100R;618-5135;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-0710KL;618-5163;10000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-07150RL;242-6901;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-071K5L;199-5668;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-07200RL;242-6929;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-0720KL;199-5679;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
GRM033R71H102KA12D;185-2113;2500;SMD;PassiveComponents;capacitors;https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM033R71H102KA12-01A.pdf
RC0805FR-0722KL;199-5686;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-07240RL;618-5163;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-072KL;199-5695;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-07330RL;242-6989;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-0733KL;618-5163;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-0733RL;618-5163;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-07390KL;242-6995;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-07390RL;199-5710;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-07470RL;242-7007;5000;SMD;PassiveComponents;resistors;—
RC0805FR-074K7L;242-7021;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RC0805FR-075K1L;199-5732;5000;SMD;PassiveComponents;resistors;https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
